name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
Diadem Point Defense Computer,diademcore,,,,,,,,TRUE,,0,0,0,0,data.hullmods.DiademCore,"The Diadem contains an old-fashioned binary supercomputer routed through all of its internal weaponry to increase the effectiveness of its point defense guns.

Extends the range of point defense weapons by %s.
",Greatly extends point defense weapon range.,graphics/LTA/hullmods/reclaimed_advanced_targeting_core.png
Damaged Diadem Point Defense Computer,diademcoredamaged,,,,,,,,TRUE,,0,0,0,0,data.hullmods.DiademCoreDamaged,"This Diadem contains a damaged or otherwise defective old-fashioned binary supercomputer wedged in between stockpiles of annihilator rockets. This supercomputer is routed through its point defense weaponry, increasing their effectiveness by a notable margin despite its damage.

Extends the range of point defense weapons by %s.
",Greatly extends point defense weapon range.,graphics/LTA/hullmods/reclaimed_advanced_targeting_core.png
Modular Armor Plating,modularplating,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ModularPlating,"An array of modular armor plating taken from low-tech stations and battlements cover this ship, providing ample reduction to otherwise devastating impacts.

Unfortunately due to the improvised nature of this plating, shield generators could not be installed on-vessel, and installing off-market shielding solutions has become impossible.","Increases the ordnance point cost of all weapons. In addition, increases fire-rate of all weapons and reduces weapon turn-rate.",graphics/LTA/hullmods/modular_plating.png
Mining-Rigged Missile Autofactories,DomainMissilePackageMining,,,,,,,,TRUE,,0,0,0,0,data.hullmods.DomainMissilePackageMining,"Missile stockpiles are automatically modified out-of-the-gate using Domain methods to improve the predictability of missile based mining explosives, reducing missile engine speed and maneuverability by %s. The slower traversal speed and freed up space usually reserved for additional fuel also allows for the expansion of missile warheads, increasing their damage by %s, enabling better mining effectiveness against asteroids and ships alike.","Increases the ordnance point cost of all weapons. In addition, increases fire-rate of all weapons and reduces weapon turn-rate.",graphics/LTA/hullmods/domain_missile_package_mining.png
Duinn Thunderbirds,thunderbirdscapital,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.ThunderbirdsCapital,"This ship has been given some incredibly costly modifications to become part of the Duinn Thunderbirds, though sections of hull have had to be cleared for the modifications, reducing hull integrity by %s.

Armor has been installed within redundant internal hull segments, increasing armor by %s.

Weapons emplacements have been reinforced and fed with additional ammo lines, increasing slot versatility and improving weapon health by %s, and recoil by %s.

The ships internal flux systems have been completely redesigned, increasing flux capacity and dissipation by %s.

In addition a highly expensive missile microfactory has been installed within the ship, allowing for incredibly slow missile reloading gradually over the course of 240 seconds.

These modifications and upgrades increase the maintenance cost of the ship by %s and deployment recovery costs by %s to run and supply the extra materials needed to keep the extra modifications running correctly.",,graphics/LTA/hullmods/thunderbirds.png
Duinn Thunderbirds,thunderbirds,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.Thunderbirds,"This ship has been given some incredibly costly modifications to become part of the Duinn Thunderbirds, though sections of hull have had to be cleared for the modifications, reducing hull integrity by %s.

Armor has been installed within redundant internal hull segments, increasing armor by %s.

Weapons emplacements have been reinforced and fed with additional ammo lines, increasing slot versatility and improving weapon health by %s, and recoil by %s.

The ships internal flux systems have been completely redesigned, increasing flux capacity and dissipation by %s.

Missile stockpiles have been expanded into surrounding internal spaces, increasing missile capacity by %s.

These modifications and upgrades increase the maintenance cost of the ship by %s and deployment recovery costs by %s to run and supply the extra materials needed to keep the extra modifications running correctly.",,graphics/LTA/hullmods/thunderbirds.png
Converted Fuel Tanks,ConvertedFuelTanks,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.ConvertedFuelTanks,"A portion of this ships fuel tanks have been sealed off from the fuel supply and filled with mounting emplacements, ammo feeders and missile loaders, reducing fuel capacity by %s.

Additional weapons have been installed on this ship over standard variations of this hull.",,graphics/LTA/hullmods/LTA_convertedfueltanks.png
Ground Support Modifications,LTA_GroundSupportFrigate,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.LTA_GroundSupportFrigate,"Extensive modifications to this frigate's hull allow it to land in atmosphere, enabling it to deploy small squads of marines and support them. Increases the effective strength of planetary raids by %s, up to the total number of marines in the fleet.",Improves effectiveness of raids.,graphics/hullmods/ground_support.png
Overtaxed Hangar Bays,LTA_OvertaxedHangar,,,,,,,,TRUE,,0,0,0,0,data.hullmods.LTA_OvertaxedHangar,"This ship's fighter bays are overtaxed, a result of much of the autofactory space being reserved to supply a constant stream of ordnance to other nearby weapons during combat. Increases the OP cost of all wings by %s.",,graphics/LTA/hullmods/LTA_overtaxed_hangar.png
Rail Fed Fighter,LTA_RailFedFighter,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.LTA_RailFedFighter,"This fighter pilot has to put up with being jammed in a long dark tunnel inside a ship, leading to an autoloading gantry, inside a fighter that they will likely have to escape from when it inevitably fails in heavy fire. Reduces max CR to %s.",,graphics/LTA/hullmods/LTA_overtaxed_hangar.png
Cramped Comms Environment,LTA_CrampedComms,,,,,,,,TRUE,,0,0,0,0,data.scripts.hullmods.LTA_CrampedComms,"This ship's comms room is cramped, due to the excess noise communication is harder, reducing the engagement distance of all wings by %s.",,graphics/LTA/hullmods/LTA_cramped_comms_environment.png
Integrated Targeting Computer,LTA_TargetingComputer,,,,,,,,TRUE,,0,0,0,0,data.hullmods.LTA_TargetingComputer,"A large binary computer installed in this vessel extends the range of ballistic and energy weapons by %s.

Due to the complex wiring distributed throughout the ship, it is rendered %s

Precludes the installation of a Dedicated Targeting Core or an Integrated Targeting Unit.",Extends non-missile weapon range.,graphics/LTA/hullmods/LTA_integrated_targeting_computer.png
Overclocked Targeting Core,LTA_OverclockedCore,,,,,,,,TRUE,,0,0,0,0,data.hullmods.LTA_OverclockedCore,"An overclocked Dedicated Targeting Core installed in this vessel extends the range of ballistic and energy weapons by %s.

Due to the quirks of pushing the core to its limits, large weapons are wholly unmanageable, and as such are not affected by the range bonus.

Precludes the installation of a Dedicated Targeting Core or an Integrated Targeting Unit.",Extends non-missile weapon range.,graphics/LTA/hullmods/overclocked_targeting_core.png
