name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive,number
Talon (DomRes),domres_talon,,Domain Resurgent,,,200,25,500,,150,0,,285,400,300,150,300,10,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,,100
Warthog (DomRes),domres_warthog,,Domain Resurgent,,,750,200,800,,150,0,,115,180,150,100,200,40,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,,110
Broadsword (DomRes),domres_broadsword,,Domain Resurgent,,,750,100,900,,150,0,,185,400,350,90,180,30,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,,,0,,,,104
Warden (DomRes),domres_warden,Minor Combat Drone,Autonomous Domain Resurgent,ammofeed,3,1500,300,750,1250,100,50,,100,100,90,90,120,150,NONE,,0,0,0,,,0,0,20,20,1,20,9,10000,5,5,480,0.25,3,3,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","domres_derelict, auto_rec",,0.5,2,2,,222.1
Defender (DomRes),domres_defender,Minor Combat Drone,Autonomous Domain Resurgent,damper,4,1800,550,750,1250,100,45,,90,90,90,90,110,160,NONE,,0,0,0,,,0,0,20,20,1,20,9,10000,5,5,480,0.25,4,4,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","domres_derelict, auto_rec",,0.5,2,2,,223.1
Picket (DomRes),domres_picket,Light Combat Drone,Autonomous Domain Resurgent,maneuveringjets,2,1100,100,750,1250,100,35,,180,175,150,100,120,120,NONE,,0,0,0,,,0,0,20,20,1,20,9,10000,5,5,480,0.25,2,2,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","domres_derelict, auto_rec",,0.5,2,2,,224.1
Sentry (DomRes),domres_sentry,Minor Combat Drone,Autonomous Domain Resurgent,fastmissileracks,3,1300,200,750,1250,100,45,,90,80,80,60,100,120,NONE,,0,0,0,,,0,0,20,20,1,20,9,10000,5,5,480,0.25,3,3,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","domres_derelict, auto_rec",,0.5,2,2,,225.1
Bastillon (DomRes),domres_bastillon,Medium Combat Drone,Autonomous Domain Resurgent,damper,6,4500,550,3500,3125,250,80,,50,35,20,20,20,400,NONE,,0,0,0,,,0,0,80,40,2,20,8,40000,5,10,540,0.25,6,6,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","domres_derelict, auto_rec",,0.5,2,3,,315.1
Berserker (DomRes),domres_berserker,Medium Combat Drone,Autonomous Domain Resurgent,burndrive,7,4500,475,3400,2813,225,80,,70,45,30,20,18,450,NONE,,0,0,0,,,0,0,80,40,2,20,8,40000,5,10,540,0.25,6,6,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","domres_derelict, auto_rec",,0.5,2,3,,316.1
Bracket (DomRes),domres_bracket,Medium Combat Drone,Autonomous Domain Resurgent,damper,12,10000,850,3800,3125,275,90,,50,35,20,20,10,800,NONE,,0,0,0,,,0,0,80,40,2,20,8,78000,5,10,540,0.25,10,10,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","domres_derelict, auto_rec",,0.5,2,3,,315.01
Embrasure (DomRes),domres_embrasure,Medium Combat Drone,Autonomous Domain Resurgent,flarelauncher,10,4500,400,1500,1833,110,50,2,50,30,30,20,10,400,NONE,,0,0,0,,,0,0,40,30,2,15,9,28000,5,8,360,0.25,9,9,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, CARRIER","domres_derelict, auto_rec",,0.5,2,3,,302.111
Hornworks (DomRes),domres_barbican,Medium Combat Drone,Autonomous Domain Resurgent,burndrive,7,4800,400,4200,3333,285,80,,70,60,60,40,35,400,NONE,,0,0,0,,,0,0,90,90,3,30,9,32000,5,12,420,0.25,7,7,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","domres_derelict, auto_rec",,0.4,2,3,,303.111
Sapper (DomRes),domres_hmi_sapper,Medium Combat Drone,Autonomous Domain Resurgent,maneuveringjets,12,4000,500,6800,8333,285,70,,90,80,60,30,30,350,NONE,,0,0,0,,,0,0,80,50,2,25,9,45000,5,15,300,0.25,11,11,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","domres_derelict, auto_rec",,0.5,2,3,,301.11111
Outworks (DomRes),domres_outworks,Major Combat Drone,Autonomous Domain Resurgent,burndrive,18,16000,900,9000,5625,465,140,,45,35,20,20,15,2200,NONE,,0,0,0,,,0,0,100,60,4,15,8,180000,5,12,600,0.25,20,20,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","domres_derelict, auto_rec",,0.5,2,3,,412.01
Rampart (DomRes),domres_rampart,Major Combat Drone,Autonomous Domain Resurgent,hmi_lidararray,16,12000,1000,10000,5625,450,180,,35,20,10,25,15,2100,NONE,,0,0,0,,,0,0,100,60,4,15,8,130000,5,12,600,0.25,24,24,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, NEVER_DODGE_MISSILES","domres_derelict, auto_rec",,0.5,2,3,,412.1
Object 440 (DomRes),domres_hmi_obj_440,Military Drone,Autonomous Domain Resurgent,fortressshield,30,8500,600,22000,9000,485,150,,30,20,10,10,10,2250,FRONT,,180,0.6,0.4,,,0,0,20,20,5,10,8,220000,5,12,540,0.25,30,30,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX, NEVER_DODGE_MISSILES","domres_derelict, auto_rec",0.1,0.9,2,3,,404.02
Object 361 (DomRes),domres_hmi_obj_361,Military Drone,Autonomous Domain Resurgent,maneuveringjets,28,10500,1250,8500,9000,385,210,,60,50,35,20,15,1850,NONE,,0,0,0,,,0,0,20,20,5,10,8,180000,5,12,540,0.25,24,24,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","domres_derelict, auto_rec",0.1,0.9,2,3,,404.01
Object 241 (DomRes),domres_hmi_obj_241,Military Drone,Autonomous Domain Resurgent,fastmissileracks,40,14000,1000,8000,10000,500,180,6,25,20,10,12,12,2000,NONE,,0,0,0,,,0,0,20,20,5,30,8,400000,5,12,540,0.25,28,28,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","domres_derelict, auto_rec",0.1,0.9,2,3,,404.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain Resurgent Station,station_domres_base,Domain Resurgent Station,Autonomous Domain Resurgent,,100,40000,1600,20000,2500,200,80,,30,200,200,2,2,5000,NONE,,0,0,0,,,0,0,0,0,1,0,0,500000,10,10,,,50,50,,,,,,,"STATION, UNBOARDABLE, HIDE_IN_CODEX",domres_derelict,,0,,,,2001
,station_domres_backbackright,"Gun Section, Small",,,1,1500,300,1500,2500,200,35,,0,0,0,10,10,70,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,2101
,station_domres_backleft,Drone Section,,reservewing,1,10000,300,4000,5000,200,200,3,0,0,0,10,10,120,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,2102
,station_domres_backright,"Gun Section, Medium",,,1,5000,600,3000,5000,200,36,,0,0,0,10,10,150,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,2103
,station_domres_backrightright,"Gun Section, Small",,ammofeed,1,5000,400,2000,5000,200,40,,0,0,0,10,10,220,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,2104
,station_domres_left,"Missile Section, Large",,fastmissileracks,1,2500,300,3000,6250,250,75,,0,0,0,10,10,200,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.5,2,2,,2105
,station_domres_right,"Missile Section, Small",,fastmissileracks,1,1000,200,3000,6250,250,32,,0,0,0,10,10,280,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.7,2,2,,2106
,station_domres_topleft,"Gun Section, Medium",,ammofeed,1,2500,300,3000,6250,250,50,,0,0,0,10,10,280,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.7,2,2,,2106
,station_domres_topleftleft,Armour Section,,damper,1,5000,600,1000,0,125,32,,0,0,0,10,10,280,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.7,2,2,,2106
,station_domres_topright,Heavy Defence Section,,,1,10000,600,4000,6250,250,70,,0,0,0,10,10,280,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.7,2,2,,2106
,station_domres_toprightright,Armour Section,,damper,1,5000,600,0,0,0,0,,0,0,0,10,10,280,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.7,2,2,,2106
,station_domres_toptopleft,"Gun Section, Heavy",,ammofeed,1,5000,600,3000,6250,250,80,,0,0,0,10,10,280,NONE,,0,0,0,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,0.7,2,2,,2106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centurion (DomRes),domres_centurion,Heavy Frigate,Domain Resurgent,damper,8,2250,650,2200,2188,175,55,,120,110,90,40,80,300,OMNI,,180,0.4,0.8,,,30,50,50,25,1,25,9,25000,8,14,240,0.25,5,5,,,,,,,HIDE_IN_CODEX,"domres_rec_bp, domres_derelict, no_auto_penalty",,0.4,2,2,,219.1
Hammerhead (DomRes),domres_hammerhead,Heavy Destroyer,Domain Resurgent,ammofeed,12,6000,750,4200,4167,250,95,,90,60,40,30,60,400,FRONT,,300,0.4,0.8,,,50,100,100,60,2,30,8,60000,5,14,360,0.25,12,12,,,,,,,HIDE_IN_CODEX,"domres_rec_bp, domres_derelict, no_auto_penalty",,0.5,2,3,,300.1
Eagle (DomRes),domres_eagle,Assault Cruiser,Domain Resurgent,maneuveringjets,15,9500,1400,11000,14000,700,155,,60,40,30,15,20,1200,FRONT,,270,0.4,0.8,,,150,250,150,100,3,33,8,150000,3,12,480,0.25,22,22,,,,,,,HIDE_IN_CODEX,"domres_rec_bp, domres_derelict, no_auto_penalty",,0.4,2,3,,410.1
Mora (DomRes),domres_mora,Heavy Carrier,Domain Resurgent,damper,16,11000,1450,4000,4000,200,125,3,45,20,10,10,10,2000,OMNI,,150,0.4,1,,,200,300,100,60,4,15,8,150000,4,14,420,0.25,22,22,,,,,,,"HIDE_IN_CODEX, CARRIER, COMBAT, NO_AUTO_ESCORT","domres_rec_bp, domres_derelict, no_auto_penalty",,0.4,2,3,,
