id,trigger,conditions,script,text,options,notes
Pch_AddOptions,PopulateOptions,"$hasMarket
$menuState == main
$isPchMarket score:100","SetShortcut saveAllWeapons ""W""
SetTooltip saveAllWeapons ""Store all weapons in your fleet's cargo hold at once, which may exceed the Crystalline Rift's maximum free capacity.""
SetShortcut saveAllCommons ""C""
SetTooltip saveAllCommons ""Store all common resources in your fleet's cargo hold at once, which may exceed the Crystalline Rift's maximum free capacity.\n\nCommon resources include: ores, rare ores, metals, transplutonics, food, organics, volatiles, supplies.""
SetShortcut saveAllFiltered ""L""
SetTooltip saveAllFiltered ""Store all items marked in the Crystalline Rift's filtering rules from your fleet's cargo hold at once, which may exceed the Crystalline Rift's maximum free capacity.""",,"21:saveAllWeapons:Store all weapons
22:saveAllCommons:Store general resources
23:saveAllFiltered:Store all filtered items",
Pch_SaveWeapons,DialogOptionSelected,$option == saveAllWeapons,PchSaveAllWeapons,,,
Pch_SaveCommons,DialogOptionSelected,$option == saveAllCommons,PchSaveAllCommons,,,
Pch_SaveFiltered,DialogOptionSelected,$option == saveAllFiltered,PchSaveAllFiltered,,,
,,,,,,
Pch_RemoteLeave,DialogOptionSelected,$option == leavePchRemote,"PchRemoteUpdate
DismissDialog",,,
#PCH Tunnel,,,,,,
PchTunnel_OpenDialog,OpenInteractionDialog,$isPchTunnel score:1000,"ShowDefaultVisual
FOB_TunnelUpdate
AddText ""This tunnel has $remainDayStr days remaining.""
FireAll PopulateOptions",You can send identification codes through this passage to notify the Borken Foundation.,,
PchTunnel_Opts,PopulateOptions,$isPchTunnel,"SetEnabled FOB_opt_borkenTrans $player.isBorken
SetTooltip FOB_opt_borkenTrans ""When you are a member of the Cthulas Borken, you can use the Crystalline Rift to teleport to the jump-point location of any star system with an anchor.""
SetTooltipHighlights FOB_opt_borkenTrans ""Cthulas Borken""
SetShortcut FOB_opt_informPch ""C""
SetShortcut FOB_opt_borkenTrans ""T""",,"0:FOB_opt_informPch:Open Crystalline Rift
1:FOB_opt_borkenTrans:Teleport Fleet
10:defaultLeave:Leave",
PchTunnel_LinkPch,DialogOptionSelected,$option == FOB_opt_informPch,PchOpenPchStorage,,,
PchTunnel_BorkenTransport,DialogOptionSelected,$option == FOB_opt_borkenTrans,FOB_TunnelTransport,,,
,,,,,,
#Auto Supplies Agreement,,,,,,
Pch_AsaShow,PchAsaAshow,,"SetTextHighlights Automatic Resupply Agreement 200 Automatic Supplies & Fuel Transmission Low Tax Rate 0.5 Duration Discounts 180 0.1 Supply Purchasing Privilege 180 1000 50,000
SetShortcut leavePchRemote ESCAPE
FOB_ShowVisual ""graphics/illustrations/FOB_asa_interaction.png""","- Automatic Resupply Agreement -

The Borken ASA team is here to ensure the safety of all Private Crystalline Rift users! With just a small deposit and a daily maintenance fee of 200 credits, you can travel without worry! Please note that if the agreement is canceled, the deposit will not be refunded.

Agreement Details:
- Automatic Supplies & Fuel Transmission
  According to the terms of the agreement, staff stationed near your Private Crystalline Rift will automatically transmit supplies and fuel to your fleet at regular intervals.
- Low Tax Rate
  A tax of only 25% of the original price will be applied to these transmissions.
  Additional taxes will be charged based on your distance from the anchor point.
- Duration Discounts
  The longer the agreement, the lower the tax rate.
  After just 180 days, the tax rate can drop as low as 2.5%.
- Supply Purchasing Privilege
  After 180 days of the agreement, you can sign up for a Supply Purchasing Privilege, allowing you to restock supplies and fuel at the original price when Crystalline Rift reserves are low.
  To ensure the ASA team's rights, the maintenance fee will increase to 1000 credits, and activating or deactivating this privilege will cost 50,000 credits.","0:modifyAgreement:Sign/View/Modify Agreement
10:leavePchRemote:Leave",
Pch_AsaShowOptions,DialogOptionSelected,$option == modifyAgreement,"$asa.isChanged = FALSE
PchAsaSetMemoryData
FireAll PchAsaOptions",Please adjust the content of the agreement according to your needs:,,
Pch_AsaSetDataAbove,PchAsaOptions,,"SetTooltip modifyInterval ""After signing or modifying, automatic transportation will occur based on the set interval.""
SetTooltip modifySupply ""Automatically replenish supplies to a specified multiple of your fleet's daily consumption. This will not exceed the maximum cargo capacity.\nThe current target quantity is $asa.targetSupply.""
SetTooltipHighlightColors modifySupply hColor 
SetTooltipHighlights modifySupply $asa.targetSupply
SetTooltip modifyFuel ""Automatically replenish fuel to a specified percentage of your fleet's maximum capacity. This will not exceed the maximum fuel capacity.\nThe current target quantity is $asa.targetFuel.""
SetTooltipHighlightColors modifyFuel hColor 
SetTooltipHighlights modifyFuel $asa.targetFuel
SetTooltip modifyPrompt ""Enable prompts when the specified time is reached.""
SetShortcut asa_cancel ESCAPE
",,"0:modifyInterval:Resupply Interval ($asa.shownInterval days)
1:modifySupply:Resupply Modifier ($asa.shownSupplyMultiplier days)
2:modifyFuel:Fuel Modifier ($asa.shownFuelMultiplier)
3:modifyPrompt:Enable Prompt ($asa.shownPrompt)
10:asa_cancel:Leave",
Pch_AsaSetDataNotSigned,PchAsaOptions,!$asa.isSigned,"SetEnabled modify $asa.canSign
PchAsaAddConfirm modify ""Please confirm your choice."" ""Confirm"" ""Cancel""",,4:modify:Sign(requires $asa.neededCredits),
Pch_AsaSetDataSigned,PchAsaOptions,$asa.isSigned,"SetEnabled modify $asa.isChanged
SetEnabled advancedSet $asa.canAdvance
SetTooltip advancedSet ""The agreement must be in effect for over 180 days to sign, and toggling it is not free. The current status is shown in parentheses.""
PchAsaAddConfirm modify ""Please confirm your choice."" ""Confirm"" ""Cancel""
PchAsaAddConfirm advancedSet ""Each time you activate or pause this charter, a fee of 50,000 credits will be charged. Please confirm your choice carefully."" ""Confirm"" ""Cancel""
PchAsaAddConfirm cancelAsa ""Please confirm your choice carefully. Once canceled, the duration will be void, and the fees will not be refunded."" ""Confirm"" ""Cancel""
",,"4:advancedSet:Resupply Procurement Charter($asa.shownAdvanced)
5:modify:Modify
6:cancelAsa:Cancel Agreement
",
Pch_AsaDataChanged0,DialogOptionSelected,$option == modifyInterval,"PchAsaSetMemoryData
FireAll PchAsaOptions",,,
Pch_AsaDataChanged1,DialogOptionSelected,$option == modifySupply,"PchAsaSetMemoryData
FireAll PchAsaOptions",,,
Pch_AsaDataChanged2,DialogOptionSelected,$option == modifyFuel,"PchAsaSetMemoryData
FireAll PchAsaOptions",,,
Pch_AsaDataChanged3,DialogOptionSelected,$option == modifyPrompt,"PchAsaSetMemoryData
FireAll PchAsaOptions",,,
Pch_AsaDataAdvance,DialogOptionSelected,$option == advancedSet,"PchAsaSetMemoryData
FireAll PchAsaOptions",,,
Pch_AsaDataModify,DialogOptionSelected,$option == modify,"PchAsaSetMemoryData
FireAll PchAsaOptions",,,
Pch_AsaDataCancel,DialogOptionSelected,$option == cancelAsa,"PchAsaSetMemoryData
FireAll PchAsaOptions",,,
,,,,,,
Pch_AsaOptionCancel,DialogOptionSelected,$option == asa_cancel,FireBest PchAsaAshow,,,
,,,,,,
#Peaceful Evolution,,,,,,
pem_checkCompletion,MarketPostDock,"$tradeMode != NONE
PeacefulEvolutionMission checkCompletion score:100",PeacefulEvolutionMission completeMissions,,,
pem_completedButNoDocking,MarketPostDock,"!$pem_noCompleteShown
$tradeMode == NONE
PeacefulEvolutionMission checkCompletion score:100","$pem_noCompleteShown = true 0
FireBest MarketPostDock",You can't complete the task in this situation.,,
,,,,,,
#Mental Healing,,,,,,
psy_greeting,PickGreeting,"$psy_isDoctor
!$entity.isHostile","ShowPersonVisual
FireAll PsyOfficersOpts
$psy_page = 0 0","After a short wait, your communication request is accepted.

""Welcome to the Borken Psychotherapy Clinic, $player.fobName. I am the chief physician of this facility. Let me assure you right away that this clinic carries all required legal licenses. For a sufficient fee, we will adjust the personalities of your officers without any risk of complications.""",,
psy_officerOption,PsyOfficersOpts,,"PsyShow Officers
SetShortcut cutCommLink ESCAPE",,,
psy_help,DialogOptionSelected,$option == psyhelp,,"Borken personality adjustment therapy can change the personality of an officer.
Pricing: 25000 * Level * Personality Factor * (1.5 - (market stability * 0.075))
Reckless: 1.2
Aggressive: 1.2
Steady: 1.2
Cautious: 1.1
Timid: 0.8",10:backToCO:Cancel,
psy_selectOfficer,DialogOptionSelected,"$psy_isDoctor
$isPerson
PsySelectOption Officer","FireAll PsyPersonalitiesOpts
SetTextHighlights $psy_officerName","""Are you sure you want $psy_officerName to undergo adjustment therapy? Please select the desired personality.""",,
psy_personalitiesOption,PsyPersonalitiesOpts,,PsyShow Personalities,,,
psy_personalitiesOption2,PsyPersonalitiesOpts,,,,10:backToCO:Cancel,
psy_selectPersonality,DialogOptionSelected,"$psy_isDoctor
$isPerson
PsySelectOption Personality","SetEnabled psy_confirm $cost_enough
SetTextHighlights $psy_officerName $psy_personalityName $psy_costStr","""Are you sure you want $psy_officerName to undergo adjustment therapy? This will cost $psy_costStr.""","1:psy_confirm:Confirm
10:backToCP:Cancel",
psy_confirmPersonality,DialogOptionSelected,$option == psy_confirm,"PsyShow Confirm
SetTextHighlights $psy_officerName","""The personality of $psy_officerName has been successfully corrected.""",10:backToCO:Cancel,
,,,,,,
psy_officerLastPage,DialogOptionSelected,$option == psylastPage,"PsyShow OPage Last
FireAll PsyOfficersOpts",,,
psy_officerNextPage,DialogOptionSelected,$option == psynextPage,"PsyShow OPage Next
FireAll PsyOfficersOpts",,,
psy_backToCO,DialogOptionSelected,$option == backToCO,FireAll PsyOfficersOpts,,,
psy_backToCP,DialogOptionSelected,$option == backToCP,FireAll PsyPersonalitiesOpts,,,
,,,,,,
#Messengers,,,,,,
fob_msger_atBarBlurb,AddBarEvents,"$faction.id == fob
!$isHostile
!$global.FOB_recognition_completed
!$global.FOB_recognition_cd
FOB_MessengerActions shouldShow","AddBarEvent fob_msger_barEvent ""Approach the stage and assume a greeting posture to the Borken."" ""A Borken is sitting at the stage, emitting no sound, yet the surrounding humans are entranced. It notices you and waves you over."" 50,255,197,255
FOB_MessengerActions pickMessenger
",,,
fob_msger_barStart_mrs_spider,DialogOptionSelected,"$option == fob_msger_barEvent
$messengerID == FOB_mrs_spider","FOB_MessengerActions showMessenger
SetStoryOption fob_smile_and_tentacle 2 FOB_recognize_lobster general ""Show yourself.""","You stare at its face, racking your brain, and finally, the identity of this prominent figure surfaces from the depths of your memory—Eternal Star, Gride, the Master of All Tendrils, and emissary of Zeyat Pras.

It lets out a derisive laugh at your awkward attempt at a friendly gesture, its single terrifying eye scrutinizing you with a chilling gaze.

""I’ve heard of you, the infamous $player.fobName, hehe... I have three questions for you. Give satisfactory answers, and only then will Cthulas Borken acknowledge you,"" it says in a routine manner, its voice low and oppressive, the single glowing red eye seemingly able to see through everything. ""Remember to follow your heart.""

You can’t help but feel uneasy as you watch the tendrils around its mouth twitch. You realize this is a test of loyalty, perhaps best described as a ritual.

","1:fob_smile_and_tentacle:You grin and blue tentacles come out of your mouth.
2:fob_smile_and_confirm:""I'm ready.""
3:backToBar:""I'm not ready, sorry."" You get up and leave your seat.",
